canonical,forms,pos,doc_freq,mean_surprisal,examples,meaning,kind
имба,имба,сущ.,168,17.225335152885492,Ну кнш лос комбо на триппи тропу имба трейд 😊обмен хароший😊 ||| Это правда имба 0:41 ||| Это имба 0:35,"очень круто, отлично, супер",slang
бомбардиро,бомбадиро / бомбандиро / бомбардило / бомбардиро / бомбордило / бомбордиро,имя,152,26.754246932750394,"Это ""очень"" похоже на крокодило бомбардиро ||| бомбордиро крокодило ||| Вообще-то не бомбардиро крокодило а итальянских мемов",неясно,slang
украсть,украдено / укради / украдите / украдут / украдёт / украл / украла / украли / украсть,глаг.,147,13.318741519368338,Да у нее Лос комбинос а он секретный а он украл бог брейнрот 😂 ||| Я такую же трипи тропи тропа трипи украл :) ||| Я успел там другого слова выйти точнее из игры Я успел выйти пока никто не украли,,ru_dict
сигма,сигма / сигмам / сигмой / сигму / сигмы,сущ.,139,20.71033305654037,Сигма шашлыка сгенерировал Шеф Ивлиев ||| Сигму шашлык походу просто армянин ||| сигму шашлык,"мем, означающий что-то очевидное, банальное или предсказуемое, часто с иронией или сарказмом",ru_dict
перевод,перевод / перевода / переводе / переводы,сущ.,136,12.140117429534595,Э​то перевод@games-danial ||| Ты читала перевод итальянских мемов ||| оч круто подбор синтов конечно ну так а в целом вокал и перевод крайне хорошие,,ru_dict
трек,трек / трека / треке / треки,сущ.,134,12.759530253012642,"Офигенный трек начало вообще понравилось 0:14 изменено: забыл добавить вот этот момент очень красивыи́ с игрой ||| це дуже крутий трек дякую авторам и их 4 отцам за то что родились ||| трек бомба всей семьей слушаем , дед в танце упал в окно",,ru_dict
крутой,крут / крута / крутая / крутого / крутое / крутой / крутому / круты / крутые / крутым / крутыми / круче,прил.,127,12.868117644717293,Фиксай ты крутой клип просто пушка обожаю тебя ещё такой богатый❤ ||| Здесь крутая атмосфера капец круто ||| Ето отсилка на крутого папу,,ru_dict
фиксай,фиксай / фиксая,глаг.,124,23.009216700282153,"Ты после этого комментария осторожно будь чтоб олды фиксая не зарезали ||| Отмосфера тут просто круто очень похоже на страшилку фиксай молодец ||| Офииигеть там даже посхалака на то, что  в честь фиксая сделали брейнрот фиксай😁","восклицание, выражающее одобрение, восхищение или удивление",slang
чел,чел,сущ.,122,9.663229917123065,​@chillbro-xn01ry тебе 9 от силы чел ||| Зашли на сервер и чел вышел😊 ||| А что если богатый чел не заходит в укради брейнрот?,,ru_dict
сахур,сагур / сахур / сахура,имя,119,19.208659984537164,Босс брейнрота это тум тум тум сахур лол ||| Брал Тун Тун сахура а украли лаваку ||| Тун сахур,неясно,slang
твой,твое / твоего / твоему / твои / твоими / твоих / твой / твоя / твоё,прил.,118,10.630622267833463,"Когда у Жизни цвет изменит полоса
Допустим чёрный цвет порою станет белый
Мне Душу лучше слушаться тогда
Сорву и плод её тогда я самый спелый


Что в песнях, что в стихах - вся суть одна
Не нуж ||| За окном фиксай закрывай все двери он стыбзит твой брейнрот ||| Фиксая твой меч купил",,ru_dict
делать,делаем / делает / делаете / делаешь / делай / делайте / делал / делала / делали / деланная / делаю / делают,глаг.,115,11.47662955278915,"Когда у Жизни цвет изменит полоса
Допустим чёрный цвет порою станет белый
Мне Душу лучше слушаться тогда
Сорву и плод её тогда я самый спелый


Что в песнях, что в стихах - вся суть одна
Не нуж ||| А как ды делаешь 2 этажную базу? ||| Делай 10 часовую версию Некст пж",,ru_dict
brainrot,brainrot,сущ.,111,26.262417387317967,Steal a brainrot /\ trade chat - заходите!!!!! ||| The Italian Brainrot flow is insane ||| Нет у меня нету друга это не то как как легко украсть Brainrot?????????,"что-то заразительное, легко распространяемое и вызывающее зависимость, часто в контексте мемов или интернет-культуры",lat
топ,топ / топа / топы,сущ.,108,14.483905677442197,топ 1 смертей в аниме ||| по коже мурашки песня топ ||| Вот это топ песня,,ru_dict
бобёр,бобер / бобр / бобра / бобрам / бобров / бобром / бобру / бобры / бобёр,сущ.,107,16.255572725814982,Отличныя бобр патапим ||| Элитные бобры и дрында зарейдили мэра на 5ка прикрасные новости 📰 ||| на какое блин добро!.. НА БОБРА!!!,,ru_dict
смотреть,смотрел / смотри / смотрим / смотрит / смотрите / смотрю / смотря / смотрят,глаг.,106,10.061403333430107,Домер смотрит на кошку окрошку ||| Я тебя смотрю как ты ещё пигги снемал ||| Симпа я тебя смотрю ты молодечик,,ru_dict
бро,бро,сущ.,103,10.10961845402534,Бро лос комбинатос лучше трипи тропи трипа ||| Бро Гарден сдох а брукхэвен просто скучно ||| Бро ему 3 недели,"обращение к собеседнику, аналог 'чувак', 'брат', 'друг'",slang
скуф,скуф / скуфа / скуфом,сущ.,96,19.804657129033433,Кажется фиксой стал скуфом ||| Альтушки сняли Скуфа. ||| Пздц скуф...,"что-то плохое, неудачное или разочаровывающее",slang
sybau,sybau,неясно,94,28.873082821297043,@Theawesomehobbyivan3560 sybau newgen ||| Sybau lil bro ||| ​sybau is ded,неясно,lat
лос,лос,межд.,93,12.277812677986768,Да у нее Лос комбинос а он секретный а он украл бог брейнрот 😂 ||| Нифига себе конечно он минус ушёл лос комбинасион ||| Ну кнш лос комбо на триппи тропу имба трейд 😊обмен хароший😊,"выражение 'лос комбо' или 'лос комбинасион' используется для обозначения удачного стечения обстоятельств, успешного сочетания действий или удачного исхода в игре, часто в контексте обмена или торговли.",slang
реально,реально,нареч.,90,9.611308614412943,"@Белыйснюсонд я реально говорю, после выхода этой песни сразу скачал ||| Да реально это песня кринж ой ой ой вроде перепутали ты сам клин ||| ​@maksimedit3ему реально 20...",,ru_dict
легенда,легенд / легенда / легенде / легендой / легенду / легенды,сущ.,89,14.334139259376874,Только легенды помнят нянкэта... ||| омагад  это легенда но он скатывается😢 ||| кто помнит настояшию легенду фиксая?,,ru_dict
кринж,кринж,сущ.,88,25.45090507335133,Да реально это песня кринж ой ой ой вроде перепутали ты сам клин ||| ​@VikaPisyuntseva ты кринж лохов 🤡 холи бам самый лутшый лучше тебя идиот ||| кринж,"что-то неловное, вызывающее стыд или насмешки; неудачное или глупое действие",slang
ngl,ngl,вводн.,88,16.62736178799109,Ngl the beat goes hard. ||| The beat kinda fire ngl ||| I couldve kept eating it ngl,"сокращение от 'not gonna lie', то есть 'честно говоря' или 'признаюсь честно'",lat
бог,бог / бога / богах / боги / богом,сущ.,88,15.93577463626157,"Когда у Жизни цвет изменит полоса
Допустим чёрный цвет порою станет белый
Мне Душу лучше слушаться тогда
Сорву и плод её тогда я самый спелый


Что в песнях, что в стихах - вся суть одна
Не нуж ||| Да у нее Лос комбинос а он секретный а он украл бог брейнрот 😂 ||| У меня вся трёх этажная у меня вся база в богах брэинротов",,ru_dict
лайк,лайк / лайка / лайках / лайке / лайки,сущ.,87,14.673185700141303,Новости сейчас би лайк: ||| Я непосталю лайк ||| Да была я поставил лайк,,ru_dict
сделать,сделает / сделаете / сделаешь / сделай / сделайте / сделала / сделан / сделано / сделаны / сделают,глаг.,82,10.30446600066291,Он буквально сделан на ней ||| Фиксай сделай песню 99 ночей в лесу  Забайкалье чтобы фиксай увидел ||| если вы наберете 50k лайков тогда наверно фиксай сделает новую песню про брейнрот🙂,,ru_dict
нормис,нормис / нормисов / нормисы,сущ.,82,24.96973204641115,"Прям задушнил но нормис ||| Типичный нормис калоежка ||| Автор видео, явно нормис","оценочное название человека, который ведет себя неестественно, странно или нелепо, часто с оттенком насмешки",slang
tuff,tuff,прил.,81,17.294717572353505,why ts actually tuff ||| bros not tuff ||| Some Ppl think its tuff🥀💔,"что-то сложное, трудное или тяжелое, часто в переносном смысле (например, сложная ситуация или неудача)",lat
брат,брат / брате / братом / братья,сущ.,79,10.891159414640372,Как всегда дристня брат💪 ||| как всегда имба брат ||| Да брат... Ждём воробушка,,ru_dict
выйти,выйдет / вышел / вышла / вышло,глаг.,78,10.36186271393967,Ура клип вышел🎉 ||| Она вышло 8 сентября но это мой гооод рождения! Спасибо холи бам ||| Зашли на сервер и чел вышел😊,,ru_dict
убить,убей / убил / убила / убили / убило / убит,глаг.,77,13.874932498340941,Но концовка убила 2:25 ||| конец просто убил ||| Конец убил😂,,ru_dict
точно,точно,нареч.,77,9.832370623365625,Точно белорусы придумали ||| Легче украсть так: становитесь га капкан свапаесь друг ставит на него капканы а потом тянет его магнитом за мин вы точно добежиье до базы ||| Holy бам очень круто вышло я за тебя Рада ты точно добьёшься всему чего хочешь❤,,ru_dict
mewing,mewing,неясно,77,22.22913562322592,"Mewing
😊 ||| Mewing? ||| Mewing😮",неясно,lat
пожалуйста,пожалуйста,частица,77,9.291520512556728,Рэд Кэт подари пожалуйста мне трипи тропу я о ней мечтаю😢😢 ||| Можоте сгять пра 99 ночей в лесу пожалуйста ||| Сева приглоси пожалуйста 😢 я потписан,,ru_dict
нету,нету,предик.,76,9.497759219163504,"Когда у Жизни цвет изменит полоса
Допустим чёрный цвет порою станет белый
Мне Душу лучше слушаться тогда
Сорву и плод её тогда я самый спелый


Что в песнях, что в стихах - вся суть одна
Не нуж ||| Кагбута нету медузы ||| Нет у меня нету друга это не то как как легко украсть Brainrot?????????",,ru_dict
дачник,дачник / дачника / дачникам / дачником,сущ.,75,16.163958589231715,у тебя 1 стадия болезни дачника ||| И дачник ||| Даже быстрее дачника выговариваю,,ru_dict
gigachad,gigachad,сущ.,75,28.302338279783726,Bro is turning gigachad ||| Lil bro looks like gigachad ||| Gigachad back in the day,"крайне успешный, уверенный в себе и харизматичный человек, вызывающий восхищение или зависть",lat
ник,ник,сущ.,74,10.015280568921888,Ник Nurale233 ||| Лучше бы пыльную мертвые снимал там как раз новая машина в пыльной я ее выбил могу дать обзор ник UHGAMES1M ||| Ищу Приват сервер ник: pampers_Ultro,,ru_dict
итальянский,итальянские / итальянский / итальянскими / итальянских / итальянского / итальянское / итальянской / итальянском,прил.,74,13.077382530771981,Предки итальянских мемов это мышки сосиски и крыски ириски ||| Создатель итальянских брейнротов:Наша битва будет легендарной ||| Это лучше чем итальянской,,ru_dict
бой,боем / бои / бой / бою / боя,сущ.,73,11.38880274470367,"Даже быстро бьёшь подушкой думать не даёшь ну за то сигма боя угадал и допдопми ||| Чиклитера бичетэра, сигма бой, тоб Тоби Тоби и джоб джоб сахур ||| Хммм... сИгМа БоЙ",,ru_dict
крокодил,крокодил / крокодила / крокодиле / крокодилов / крокодилу / крокодилы,сущ.,71,15.493958169368227,Но всё равно настоящий бомбардира крокодила лучше! ||| Я ещё придумала крокодила йогурттина ||| Не бомбандиро крокодила а бренрот из Италии,,ru_dict
сюда,сюда,нареч.,71,19.92060641545645,Кто до 6 000 коммов сюда ||| Там был мат нихуя себе кто слышал  гадости матерятся кто тоже думает 😂 сюда👇 ||| Кто  шлышал мат сюда👇,,ru_dict
аллах,аллах / аллаха / аллахом / аллаху,сущ.,70,11.298237005467385,"Крч там оскорбление аллаха аминь и вопще бога ||| ​@горный_гусьКот банан, Тралалело тралола оскорбление Аллаха или Бога ||| Вообще то переводе очень грубо поступают с Аллахом",,ru_dict
выпасть,выпадет / выпал / выпала / выпало,глаг.,69,12.877410951762172,Также Лукан который закинул туда 1 Драгон канелони и 3 гарама а ему выпало лос комбинация 💀 а ему из 4 лопат лос хос пот выпал ||| Ему выпал секретка на 4 процента я умираю ||| А если бы ему выпало лос комбиначионс,,ru_dict
этот,ета / ети / етим / етими / ето / етого / етой / етом / етому / етот,прил.,69,13.02969805209004,"Ето легендарна песня ||| Ето отсилка на крутого папу ||| Пересмотрел уже 10000000 раз очень нравиться 24/7 слушаю.ето я в роблокс к тебе д,п,а Ти улаляэш меня",,ru_dict
гений,гении / гений,сущ.,69,13.06940006619225,Гений посмотри на просмотры прошлых шортсов ||| @timerius22 это его выбор гений рил ||| Ты же это не выставил гений,,ru_dict
посмотреть,посмотрев / посмотрел / посмотрела / посмотрели / посмотри / посмотрим / посмотрите,глаг.,67,10.845305211835978,Вы бы перевот посмотрели и потом бы смеялись ||| Гений посмотри на просмотры прошлых шортсов ||| Я не посмотрел до конца Но это бр СТ бадабум,,ru_dict
база,база / базой / базу / базы,сущ.,66,11.09122975461949,А как ды делаешь 2 этажную базу? ||| Не когда потому что я постоянно базу закрываю ||| У меня было такое но базу закрыли,"место, где игроки в онлайн-играх (например, в Minecraft) строят и хранят ресурсы для дальнейшего использования; также может означать само здание или сооружение базы.",ru_dict
прям,прям,частица,65,9.781658622755932,Шлакоблокунь и прочее что делалось вручную прям деды этого всего. ||| Ну Крутой папа над анимацией постарался и холибам прям посторался ||| Реально! Ты прям повторил всю игру! У меня кста лавака есть. Про всё тут жиза. Особенно когда админ лаки блок заспавнился и лавака и тралерилита все начали там турель ставить со всяки. Мечами,,ru_dict
туалет,туалет / туалета / туалетами / туалетах / туалете / туалетов / туалетом / туалету / туалеты,сущ.,62,18.384231158148214,Мем на уровне шкебеде туалетов ||| Интересно почему хулибаму не выпал в спагете туалете он же самый преданный фанат спагетти😅 ||| Фиксай настолько легенда  что даже ему спагетти туалет выпадают,,ru_dict
анатохич,анатохич / анатохича,имя,61,29.028484074416614,​@УвасВсеок-хз06значит анатохич не самый тупой ||| Анатохич это был бр истэкпатибум ||| Анатохич перестал узнавать брейнротов,неясно,slang
слушать,слушаем / слушаешь / слушай / слушал / слушала / слушать / слушаю / слушающий / слушая,глаг.,60,11.41149969379677,"трек бомба всей семьей слушаем , дед в танце упал в окно ||| Пересмотрел уже 10000000 раз очень нравиться 24/7 слушаю.ето я в роблокс к тебе д,п,а Ти улаляэш меня ||| Я на столько люблю холи бама что я выучила песню потому слушала её бесконецна❤",,ru_dict
тропа,тропа / тропу,сущ.,60,13.275806298409307,Я такую же трипи тропи тропа трипи украл :) ||| Ну кнш лос комбо на триппи тропу имба трейд 😊обмен хароший😊 ||| Эм нет потомучто лос комбонационес секретка а трипи тропа божественые😂😂😂,,ru_dict
телефон,телефон / телефона / телефонов / телефоном / телефоны,сущ.,60,17.07599637656369,Ты ещё что болеешь телефон с собой сказал ||| Бонека Амбала у меня просто телефон садится ||| дачник может съешь тогда телефон,,ru_dict
рил,рил / риле,сущ.,59,14.906279371730212,@bemebeth рил просто ||| Да рил похоже ||| @timerius22 это его выбор гений рил,,ru_dict
круто,круто,нареч.,59,10.578664909985106,Отмосфера тут просто круто очень похоже на страшилку фиксай молодец ||| Ааа круто как 7 чедес света❤😊 ||| Супер круто снято,,ru_dict
жалко,жалко,нареч.,57,10.691858419056597,Жалко гномика убили еще и домик взорвался ||| Гнома жалко ||| Кому жалко гномика😢,,ru_dict
pov,pov,частица,57,10.446066814556456,Pov Анатолий забыл что он теперь не будет снимать про brain road типичные его день когда он не знаешь Брайан роты ||| Pov 5year old iPad kid rn😭 ||| Pov babannemin günündeyimdir,"Вводное слово, указывающее на то, что дальше следует описание ситуации с точки зрения какого-то персонажа или от первого лица.",lat
мат,мат / матами / матом / мату / маты,сущ.,57,12.378433060386907,"Там был мат нихуя себе кто слышал  гадости матерятся кто тоже думает 😂 сюда👇 ||| Кто услышал мат суда
👇 ||| Кто  шлышал мат сюда👇",,ru_dict
гномик,гномик / гномика / гномики / гномиком / гномику,сущ.,57,15.529599437748683,Я гномик дэпнул в казик я свой домик ||| Беднинкий гномик нада уже ему домик дать ||| Один лайк один домик для гномика,,ru_dict
сидеть,сидел / сидела / сидеть / сидим / сидит / сидите / сидят,глаг.,57,11.268446089098692,​@Клим-ъ7е сидеть в ютубе тоже🥀 ||| Бедний папа сидит нехуя не понимает кивает типо что то понял ||| ты дуракчок?под каждым видео пишет сидит про Суно аи.,,ru_dict
трипи,трипи / триппи,имя,57,16.466605202788855,Я такую же трипи тропи тропа трипи украл :) ||| Ну кнш лос комбо на триппи тропу имба трейд 😊обмен хароший😊 ||| Эм нет потомучто лос комбонационес секретка а трипи тропа божественые😂😂😂,"что-то ценное, крутое или божественное, часто в контексте обмена или кражи в играх/мемной культуре",slang
холя,холи,дееприч.,56,11.351428840841566,Мы потеряли Холи бама образца 2021 года ||| ​@VikaPisyuntseva ты кринж лохов 🤡 холи бам самый лутшый лучше тебя идиот ||| Кто из 2026 Холи бааам заметь пж!,,ru_dict
похожий,похож / похожая / похожем / похожи / похожие / похожий / похожим,прил.,56,12.268782772174498,Согл ведь они так похожи😅 ||| А никто не заметил что наш любимый мэр похож из игры только Он чёрный этот розовый ||| на бубу похож сахурчик,,ru_dict
чисто,чисто,нареч.,56,9.372942847864968,чисто только 1000 ночей и казлу пукан уже интересует только легенды поставили лайк🥴 ||| Чисто когда удача 1000х ||| Чисто про модед стиль э брейнрот,,ru_dict
русский,русские / русский / русским / русское / русском,прил.,53,10.88825960100826,Это не русские мемы настоящие уплыли в бездну… ||| У меня было такое только в [обнв] укради русский брейнрот ||| Он забыл русский,,ru_dict
согл,согл,межд.,51,15.863036789146124,@bemebeth согл ||| @Dynachristos согл ||| Согл😂,"сокращение от 'согласен', выражающее согласие с предыдущим сообщением",slang
тунг,тунг / тунга / тунгом,сущ.,51,13.571331291989837,"Следующее видео:
Зарейдил мэра Тунг тунг Сахуром""
Я Тут тум сагур Дай лицензию на Рангур ||| Типа тропа тралала лилилила тунг тунг сахур бонекка тунг тунг тралалеро триппи троппа хрокодина ||| Тунг тунг сахур Дун Дун Дун хотспот амбалабу гарамарам тоб Тоби топ макело ма Дун Дун дун",,ru_dict
секретка,секретка / секретки / секреткой / секретку / секреток,сущ.,51,18.007634760859684,Принимаю на випку привила нужна секретка ||| Эм нет потомучто лос комбонационес секретка а трипи тропа божественые😂😂😂 ||| Дай одну секретку,,ru_dict
звук,звук / звука / звуками / звуки / звуков / звуком,сущ.,50,11.97792420529184,У тебя постоянно всё под звук подходит🎉 ||| Мне казыца сто в канцы но боцыловал брожектар звука ||| А почему не было звук 'дрогонолони ',,ru_dict
который,которая / которое / которой / которому / которую,прил.,50,11.352246088830253,Когда мой друг крал лос 67 у него украли чиклитейру нолитейру которая дает 168 м ||| Это самая лучшая песня от стрса которую я слышала ||| Вам что нубини пиццанини важнее чем за моего любимого Брейн рота которая он лучше чем фигня для нубов,,ru_dict
родиться,род / родившаяся / родилась / родились / родился / родятся,глаг.,49,11.495701604286829,це дуже крутий трек дякую авторам и их 4 отцам за то что родились ||| Кто знает появился новый секрет брей род это la esok sikola ||| ​@ЧАС-ч6р вау ты средний род,,ru_dict
лайковый,лайков,прил.,49,16.755400072669193,если вы наберете 50k лайков тогда наверно фиксай сделает новую песню про брейнрот🙂 ||| 67 лайков.. ||| Да вы гении наберите 60 тыс. Лайков Вас ещё преданным подписчиком называют,,ru_dict
название,название / названий / названия / названье,сущ.,48,11.385794080297153,Название мне напомнило За тобой цветы ||| Он забыл название брейнотов ||| Это его какая букашка укусила что он забыл название брейнота?......,,ru_dict
tralala,tralala,межд.,48,19.46126481393973,Prr patapim tralalero tralala capuchino asasino ||| Три петропа tralala ||| Tralalero Tralala for president,неясно,lat
тоха,тоха / тохи,имя,48,15.926377918985153,Тоха раньше было лучше гиомитри деш мертвие рельсы а сейчас ||| Тоха в начале ето отдельний вид исткутсва ||| Так это же Тоха t2x2,неясно,slang
gronk,gronk,сущ.,47,24.305211001696687,"Baby gronk rizz'd up livvy dunn ||| ""Baby Gronk rizzed up Livvy Dunne"" type sh*t ||| Baby gronk is the rizzler","о ком-то, кто обладает сильным обаянием или уверенностью в себе, часто в контексте романтических отношений",lat
настоящий,настоящая / настоящего / настоящее / настоящей / настоящем / настоящие / настоящий / настоящим,прил.,47,11.580343792071709,Но всё равно настоящий бомбардира крокодила лучше! ||| Это не русские мемы настоящие уплыли в бездну… ||| ​@RACCONCH1kYouTubeэто не настоящий я думал,,ru_dict
давать,давал / давать / дает / даю / дают / даёт / даёшь,глаг.,46,10.211870894829433,Когда мой друг крал лос 67 у него украли чиклитейру нолитейру которая дает 168 м ||| Кто самной трейд на лос ну моц хоспотс дает лям 3.12 или хз ||| Нет она фак на аве показывает ещё хочет перевести подписчиков за такое бан дают,,ru_dict
норма,норм,сущ.,46,10.794403822525688,а норм есть еда ||| О контент норм стал мат есть подписочка ||| Мне одному норм что он снимает Брейнрот?,,ru_dict
играть,играешь / играй / играл / играла / играли / играю / играют,глаг.,46,10.690973089723485,@Simba10mi играл ||| Кто помнит как red cat играл в doors😢 ||| Редкет ты что играешь,,ru_dict
ребёнок,детей / ребенка / ребенком / ребенку / ребёнка / ребёнку / ребёнок,сущ.,46,11.437428519909432,Пипец он вас скамит как детей ||| Мне кажется лучше у ребенка украсть что то дорогое как это сделал T2x2 он украл лаваку сатурно старлиту за 50 миллионов ||| Нам показали детей в старости сегодняшних детей,,ru_dict
другой,другие / другим / других / другого / другое / другому / другую,прил.,45,9.694792001952932,"В италиянских брейнротах есть сегма мега харош сделал другого брейнрота медьведь манго ||| Когда у Жизни цвет изменит полоса
Допустим чёрный цвет порою станет белый
Мне Душу лучше слушаться тогда
Сорву и плод её тогда я самый спелый


Что в песнях, что в стихах - вся суть одна
Не нуж ||| Я успел там другого слова выйти точнее из игры Я успел выйти пока никто не украли",,ru_dict
второй,вторая / второй / вторую,прил.,45,9.912856806328882,Я второй ура лайкнити пж штоб Фокси гейм зометел ||| Я второй лайкнити штоб лисфоксинг гейминг зометел ||| Не пишите кто первый или второй,,ru_dict
комментарий,комментарии / комментарий / комментария,сущ.,44,10.045400388373269,Ты после этого комментария осторожно будь чтоб олды фиксая не зарезали ||| Фиксами сердечко поставил там под комментарии я этот рад фиксай и домер имба 1:42 ||| Смотрю комментарии и понимаю то что тут легенда крутой папа,,ru_dict
симба,симба / симбу / симбы,имя,43,16.144406183844524,симба газан ||| 67 захватил симбу ||| И до Симбы этот деградированный мем добрался...,"что-то, что можно захватить или чем можно управлять, часто в контексте насилия или доминирования; возможно, отсылка к фильму 'Король Лев' (Симба — персонаж)",slang
снять,снимешь / сними / снимите / сниму / снял / сняла / сняли,глаг.,43,12.533228949067137,"Сними закинуть в Санта  
Фюс машину строби елефат ||| Музика для ностальгии 2023  халибам пж сними видос про тойлет файт ||| Дрында сними видио где гномик от отгадывает домик",,ru_dict
добавить,добавил / добавила / добавили / добавит / добавить / добавишь / добавлю / добавь / добавьте,глаг.,43,13.941712470357666,Семми вчера добавил кибер ивент ||| Стоп скажите пж добавили моего любимого? ||| Кого добавить на випку,,ru_dict
бам,бам,сущ.,43,13.044698171837386,​@VikaPisyuntseva ты кринж лохов 🤡 холи бам самый лутшый лучше тебя идиот ||| До чего Холли бам докатился ||| 0:09 с крутым папой холли бам поссорился,,ru_dict
палец,палец / пальца / пальцев / пальцем / пальцы,сущ.,43,13.369000488689968,"​@сай_ганжа мне жалко твои пальцы💀 сколько лет ты это писал? ||| Перевод:чтобы провести пальцем ||| [Текст песни «Скибиди туалет»]

Все начинается с конца
Каждый день вижу смерть от первого лица
Каждый день продолжается военный репортаж 
Новый день - новый персонаж 
Все идет задом наперед
Сегод",,ru_dict
патапим,патапим / патапима / патипум,имя,43,29.424934007085508,Да я у девки крал брбр патапима а у меня медузу😢 ||| быр быр есте патипум ||| Брр Эсте патипум😂,неясно,slang
молодец,молодец / молодца,сущ.,43,11.468091258915459,Отмосфера тут просто круто очень похоже на страшилку фиксай молодец ||| А семми увидел 😂круто 🎉молодец Аш  мурашки побижали ||| Холибам я афигел молодец я твой фонат,,ru_dict
пойти,пойдет / пойду / пойдёт / пойти / пошел / пошла / пошло / пошёл,глаг.,43,11.98491480375007,А вот визуха пошла😅 ||| Пойду ка почетерю в амогусе дачника нету и ещё читов скачаю ||| Привет можно я никогда yaroslav12644  а жирафо силе что пойдёт,,ru_dict
дрында,дрында,сущ.,42,15.021809180577597,Дрында дарова я на тебя подписан и на  Холи бам ||| Дрында  с анатохичом с ума уже сошли ||| Дрында пр когда видело с анатохичом,неясно,slang
ранний,ранний / раньше,прил.,42,13.943859622358929,"кто помнит песни начну с понедельника, раньше было лучше, неси меня воля , молитва? ||| МММ детская игра вот раньше были лучше ||| Я такой итальянский мем раньше тоже не знал!",,ru_dict
саур,саур / саура / саурам,сущ.,42,19.187489098972744,фиксай  я  тут заметил что ты в  этом клипе был тум тум саурам я  увидел там где перед канвеер работает тебе услышыт ||| Самый последний brain road был job job job job саур😊 ||| Цикретэйра бисикрета и джоб джоб саур,,ru_dict
