"word","forms","kind","pos","doc_freq","mean_surprisal","examples","verdict","meaning","pos_llm","origin","register","pos_llm_norm"
"крутой","крут / крута / крутая / крутого / крутое / крутой / крутому / круты / крутые / крутым / крутыми / круче","ru_dict","прил.","127","12.868117644717293","Фиксай ты крутой клип просто пушка обожаю тебя ещё такой богатый❤ ||| Здесь крутая атмосфера капец круто ||| Ето отсилка на крутого папу","","","","","",""
"фиксай","фиксай / фиксая","slang","глаг.","124","23.009216700282153","Ты после этого комментария осторожно будь чтоб олды фиксая не зарезали ||| Отмосфера тут просто круто очень похоже на страшилку фиксай молодец ||| Офииигеть там даже посхалака на то, что в честь фиксая сделали брейнрот фиксай😁","","восклицание, выражающее одобрение, восхищение или удивление","междометие","искажённое английское 'fix it' (исправь это) или 'fixed' (исправлено), используемое в мемной культуре","мем/сленг","межд."
"чел","чел","ru_dict","сущ.","122","9.663229917123065","​@chillbro-xn01ry тебе 9 от силы чел ||| Зашли на сервер и чел вышел😊 ||| А что если богатый чел не заходит в укради брейнрот?","","","","","",""
"сахур","сагур / сахур / сахура","slang","имя","119","19.208659984537164","Босс брейнрота это тум тум тум сахур лол ||| Брал Тун Тун сахура а украли лаваку ||| Тун сахур","","неясно","неясно","неясно","мем/сленг","неясно"
"твой","твое / твоего / твоему / твои / твоими / твоих / твой / твоя / твоё","ru_dict","прил.","118","10.630622267833463","Когда у Жизни цвет изменит полоса Допустим чёрный цвет порою станет белый Мне Душу лучше слушаться тогда Сорву и плод её тогда я самый спелый Что в песнях, что в стихах - вся суть одна Не нуж ||| За окном фиксай закрывай все двери он стыбзит твой брейнрот ||| Фиксая твой меч купил","","","","","",""
"делать","делаем / делает / делаете / делаешь / делай / делайте / делал / делала / делали / деланная / делаю / делают","ru_dict","глаг.","115","11.47662955278915","Когда у Жизни цвет изменит полоса Допустим чёрный цвет порою станет белый Мне Душу лучше слушаться тогда Сорву и плод её тогда я самый спелый Что в песнях, что в стихах - вся суть одна Не нуж ||| А как ды делаешь 2 этажную базу? ||| Делай 10 часовую версию Некст пж","","","","","",""
"brainrot","brainrot","lat","сущ.","111","26.262417387317967","Steal a brainrot /\ trade chat - заходите!!!!! ||| The Italian Brainrot flow is insane ||| Нет у меня нету друга это не то как как легко украсть Brainrot?????????","meme","что-то заразительное, легко распространяемое и вызывающее зависимость, часто в контексте мемов или интернет-культуры","существительное","англицизм (от brain + rot)","мем/сленг","сущ."
"топ","топ / топа / топы","ru_dict","сущ.","108","14.483905677442197","топ 1 смертей в аниме ||| по коже мурашки песня топ ||| Вот это топ песня","","","","","",""
"бобёр","бобер / бобр / бобра / бобрам / бобров / бобром / бобру / бобры / бобёр","ru_dict","сущ.","107","16.255572725814982","Отличныя бобр патапим ||| Элитные бобры и дрында зарейдили мэра на 5ка прикрасные новости 📰 ||| на какое блин добро!.. НА БОБРА!!!","","","","","",""
"смотреть","смотрел / смотри / смотрим / смотрит / смотрите / смотрю / смотря / смотрят","ru_dict","глаг.","106","10.061403333430107","Домер смотрит на кошку окрошку ||| Я тебя смотрю как ты ещё пигги снемал ||| Симпа я тебя смотрю ты молодечик","","","","","",""
"бро","бро","slang","сущ.","103","10.10961845402534","Бро лос комбинатос лучше трипи тропи трипа ||| Бро Гарден сдох а брукхэвен просто скучно ||| Бро ему 3 недели","","обращение к собеседнику, аналог 'чувак', 'брат', 'друг'","междометие/обращение","сокращение от 'брат' (в значении 'браток', 'братан')","мем/сленг","межд."
"скуф","скуф / скуфа / скуфом","slang","сущ.","96","19.804657129033433","Кажется фиксой стал скуфом ||| Альтушки сняли Скуфа. ||| Пздц скуф...","","что-то плохое, неудачное или разочаровывающее","существительное или междометие","неясно, возможно искажение или случайное сочетание букв","мем/сленг","сущ."
"sybau","sybau","lat","неясно","94","28.873082821297043","@Theawesomehobbyivan3560 sybau newgen ||| Sybau lil bro ||| ​sybau is ded","meme","неясно","неясно","неясно","мем/сленг","неясно"
"лос","лос","slang","межд.","93","12.277812677986768","Да у нее Лос комбинос а он секретный а он украл бог брейнрот 😂 ||| Нифига себе конечно он минус ушёл лос комбинасион ||| Ну кнш лос комбо на триппи тропу имба трейд 😊обмен хароший😊","","выражение 'лос комбо' или 'лос комбинасион' используется для обозначения удачного стечения обстоятельств, успешного сочетания действий или удачного исхода в игре, часто в контексте обмена или торговли.","междометие/частица (в составе фразы)","вероятно от английского 'loss' (потеря) в ироничном контексте, но с искажением значения; 'комбо' — от английского 'combo' (сочетание)","мем/сленг","межд."
"реально","реально","ru_dict","нареч.","90","9.611308614412943","@Белыйснюсонд я реально говорю, после выхода этой песни сразу скачал ||| Да реально это песня кринж ой ой ой вроде перепутали ты сам клин ||| ​@maksimedit3ему реально 20...","","","","","",""
"легенда","легенд / легенда / легенде / легендой / легенду / легенды","ru_dict","сущ.","89","14.334139259376874","Только легенды помнят нянкэта... ||| омагад это легенда но он скатывается😢 ||| кто помнит настояшию легенду фиксая?","","","","","",""
"кринж","кринж","slang","сущ.","88","25.45090507335133","Да реально это песня кринж ой ой ой вроде перепутали ты сам клин ||| ​@VikaPisyuntseva ты кринж лохов 🤡 холи бам самый лутшый лучше тебя идиот ||| кринж","","что-то неловное, вызывающее стыд или насмешки; неудачное или глупое действие","существительное/прилагательное (в зависимости от контекста)","от английского *cringe* (стыдиться, съёживаться от неловкости)","мем/сленг","сущ."
"ngl","ngl","lat","вводн.","88","16.62736178799109","Ngl the beat goes hard. ||| The beat kinda fire ngl ||| I couldve kept eating it ngl","meme","сокращение от 'not gonna lie', то есть 'честно говоря' или 'признаюсь честно'","вводное слово/фраза","английский сленг (not gonna lie)","мем/сленг","вводн."
"бог","бог / бога / богах / боги / богом","ru_dict","сущ.","88","15.93577463626157","Когда у Жизни цвет изменит полоса Допустим чёрный цвет порою станет белый Мне Душу лучше слушаться тогда Сорву и плод её тогда я самый спелый Что в песнях, что в стихах - вся суть одна Не нуж ||| Да у нее Лос комбинос а он секретный а он украл бог брейнрот 😂 ||| У меня вся трёх этажная у меня вся база в богах брэинротов","","","","","",""
"лайк","лайк / лайка / лайках / лайке / лайки","ru_dict","сущ.","87","14.673185700141303","Новости сейчас би лайк: ||| Я непосталю лайк ||| Да была я поставил лайк","","","","","",""
"сделать","сделает / сделаете / сделаешь / сделай / сделайте / сделала / сделан / сделано / сделаны / сделают","ru_dict","глаг.","82","10.30446600066291","Он буквально сделан на ней ||| Фиксай сделай песню 99 ночей в лесу Забайкалье чтобы фиксай увидел ||| если вы наберете 50k лайков тогда наверно фиксай сделает новую песню про брейнрот🙂","","","","","",""
"нормис","нормис / нормисов / нормисы","slang","сущ.","82","24.96973204641115","Прям задушнил но нормис ||| Типичный нормис калоежка ||| Автор видео, явно нормис","","оценочное название человека, который ведет себя неестественно, странно или нелепо, часто с оттенком насмешки","существительное","вероятно от слова ""нормальный"" с ироническим суффиксом ""-ис""","мем/сленг","сущ."
"tuff","tuff","lat","прил.","81","17.294717572353505","why ts actually tuff ||| bros not tuff ||| Some Ppl think its tuff🥀💔","meme","что-то сложное, трудное или тяжелое, часто в переносном смысле (например, сложная ситуация или неудача)","прилагательное","английское слово 'tough' с фонетической заменой 'gh' на 'f'","мем/сленг","прил."
"брат","брат / брате / братом / братья","ru_dict","сущ.","79","10.891159414640372","Как всегда дристня брат💪 ||| как всегда имба брат ||| Да брат... Ждём воробушка","","","","","",""
"выйти","выйдет / вышел / вышла / вышло","ru_dict","глаг.","78","10.36186271393967","Ура клип вышел🎉 ||| Она вышло 8 сентября но это мой гооод рождения! Спасибо холи бам ||| Зашли на сервер и чел вышел😊","","","","","",""
"убить","убей / убил / убила / убили / убило / убит","ru_dict","глаг.","77","13.874932498340941","Но концовка убила 2:25 ||| конец просто убил ||| Конец убил😂","","","","","",""
"точно","точно","ru_dict","нареч.","77","9.832370623365625","Точно белорусы придумали ||| Легче украсть так: становитесь га капкан свапаесь друг ставит на него капканы а потом тянет его магнитом за мин вы точно добежиье до базы ||| Holy бам очень круто вышло я за тебя Рада ты точно добьёшься всему чего хочешь❤","","","","","",""
"mewing","mewing","lat","неясно","77","22.22913562322592","Mewing 😊 ||| Mewing? ||| Mewing😮","meme","неясно","неясно","неясно","неясно","неясно"
"пожалуйста","пожалуйста","ru_dict","частица","77","9.291520512556728","Рэд Кэт подари пожалуйста мне трипи тропу я о ней мечтаю😢😢 ||| Можоте сгять пра 99 ночей в лесу пожалуйста ||| Сева приглоси пожалуйста 😢 я потписан","","","","","",""
"нету","нету","ru_dict","предик.","76","9.497759219163504","Когда у Жизни цвет изменит полоса Допустим чёрный цвет порою станет белый Мне Душу лучше слушаться тогда Сорву и плод её тогда я самый спелый Что в песнях, что в стихах - вся суть одна Не нуж ||| Кагбута нету медузы ||| Нет у меня нету друга это не то как как легко украсть Brainrot?????????","","","","","",""
"дачник","дачник / дачника / дачникам / дачником","ru_dict","сущ.","75","16.163958589231715","у тебя 1 стадия болезни дачника ||| И дачник ||| Даже быстрее дачника выговариваю","","","","","",""
"gigachad","gigachad","lat","сущ.","75","28.302338279783726","Bro is turning gigachad ||| Lil bro looks like gigachad ||| Gigachad back in the day","meme","крайне успешный, уверенный в себе и харизматичный человек, вызывающий восхищение или зависть","существительное","мем-культура, вероятно от персонажа ""Giga Chad"" из интернет-мема","мем/сленг","сущ."
"ник","ник","ru_dict","сущ.","74","10.015280568921888","Ник Nurale233 ||| Лучше бы пыльную мертвые снимал там как раз новая машина в пыльной я ее выбил могу дать обзор ник UHGAMES1M ||| Ищу Приват сервер ник: pampers_Ultro","","","","","",""
"итальянский","итальянские / итальянский / итальянскими / итальянских / итальянского / итальянское / итальянской / итальянском","ru_dict","прил.","74","13.077382530771981","Предки итальянских мемов это мышки сосиски и крыски ириски ||| Создатель итальянских брейнротов:Наша битва будет легендарной ||| Это лучше чем итальянской","","","","","",""
"бой","боем / бои / бой / бою / боя","ru_dict","сущ.","73","11.38880274470367","Даже быстро бьёшь подушкой думать не даёшь ну за то сигма боя угадал и допдопми ||| Чиклитера бичетэра, сигма бой, тоб Тоби Тоби и джоб джоб сахур ||| Хммм... сИгМа БоЙ","","","","","",""
"крокодил","крокодил / крокодила / крокодиле / крокодилов / крокодилу / крокодилы","ru_dict","сущ.","71","15.493958169368227","Но всё равно настоящий бомбардира крокодила лучше! ||| Я ещё придумала крокодила йогурттина ||| Не бомбандиро крокодила а бренрот из Италии","","","","","",""
"сюда","сюда","ru_dict","нареч.","71","19.92060641545645","Кто до 6 000 коммов сюда ||| Там был мат нихуя себе кто слышал гадости матерятся кто тоже думает 😂 сюда👇 ||| Кто шлышал мат сюда👇","","","","","",""
"аллах","аллах / аллаха / аллахом / аллаху","ru_dict","сущ.","70","11.298237005467385","Крч там оскорбление аллаха аминь и вопще бога ||| ​@горный_гусьКот банан, Тралалело тралола оскорбление Аллаха или Бога ||| Вообще то переводе очень грубо поступают с Аллахом","","","","","",""
"выпасть","выпадет / выпал / выпала / выпало","ru_dict","глаг.","69","12.877410951762172","Также Лукан который закинул туда 1 Драгон канелони и 3 гарама а ему выпало лос комбинация 💀 а ему из 4 лопат лос хос пот выпал ||| Ему выпал секретка на 4 процента я умираю ||| А если бы ему выпало лос комбиначионс","","","","","",""
"этот","ета / ети / етим / етими / ето / етого / етой / етом / етому / етот","ru_dict","прил.","69","13.02969805209004","Ето легендарна песня ||| Ето отсилка на крутого папу ||| Пересмотрел уже 10000000 раз очень нравиться 24/7 слушаю.ето я в роблокс к тебе д,п,а Ти улаляэш меня","","","","","",""
"гений","гении / гений","ru_dict","сущ.","69","13.06940006619225","Гений посмотри на просмотры прошлых шортсов ||| @timerius22 это его выбор гений рил ||| Ты же это не выставил гений","","","","","",""
"посмотреть","посмотрев / посмотрел / посмотрела / посмотрели / посмотри / посмотрим / посмотрите","ru_dict","глаг.","67","10.845305211835978","Вы бы перевот посмотрели и потом бы смеялись ||| Гений посмотри на просмотры прошлых шортсов ||| Я не посмотрел до конца Но это бр СТ бадабум","","","","","",""
"база","база / базой / базу / базы","ru_dict","сущ.","66","11.09122975461949","А как ды делаешь 2 этажную базу? ||| Не когда потому что я постоянно базу закрываю ||| У меня было такое но базу закрыли","","место, где игроки в онлайн-играх (например, в Minecraft) строят и хранят ресурсы для дальнейшего использования; также может означать само здание или сооружение базы.","существительное","от англ. *base* (база, опорный пункт) в контексте компьютерных игр","сленг","сущ."
"прям","прям","ru_dict","частица","65","9.781658622755932","Шлакоблокунь и прочее что делалось вручную прям деды этого всего. ||| Ну Крутой папа над анимацией постарался и холибам прям посторался ||| Реально! Ты прям повторил всю игру! У меня кста лавака есть. Про всё тут жиза. Особенно когда админ лаки блок заспавнился и лавака и тралерилита все начали там турель ставить со всяки. Мечами","","","","","",""
"туалет","туалет / туалета / туалетами / туалетах / туалете / туалетов / туалетом / туалету / туалеты","ru_dict","сущ.","62","18.384231158148214","Мем на уровне шкебеде туалетов ||| Интересно почему хулибаму не выпал в спагете туалете он же самый преданный фанат спагетти😅 ||| Фиксай настолько легенда что даже ему спагетти туалет выпадают","","","","","",""
"анатохич","анатохич / анатохича","slang","имя","61","29.028484074416614","​@УвасВсеок-хз06значит анатохич не самый тупой ||| Анатохич это был бр истэкпатибум ||| Анатохич перестал узнавать брейнротов","","неясно","неясно","неясно","мем/сленг","неясно"
"слушать","слушаем / слушаешь / слушай / слушал / слушала / слушать / слушаю / слушающий / слушая","ru_dict","глаг.","60","11.41149969379677","трек бомба всей семьей слушаем , дед в танце упал в окно ||| Пересмотрел уже 10000000 раз очень нравиться 24/7 слушаю.ето я в роблокс к тебе д,п,а Ти улаляэш меня ||| Я на столько люблю холи бама что я выучила песню потому слушала её бесконецна❤","","","","","",""
"тропа","тропа / тропу","ru_dict","сущ.","60","13.275806298409307","Я такую же трипи тропи тропа трипи украл :) ||| Ну кнш лос комбо на триппи тропу имба трейд 😊обмен хароший😊 ||| Эм нет потомучто лос комбонационес секретка а трипи тропа божественые😂😂😂","","","","","",""
"телефон","телефон / телефона / телефонов / телефоном / телефоны","ru_dict","сущ.","60","17.07599637656369","Ты ещё что болеешь телефон с собой сказал ||| Бонека Амбала у меня просто телефон садится ||| дачник может съешь тогда телефон","","","","","",""
"рил","рил / риле","ru_dict","сущ.","59","14.906279371730212","@bemebeth рил просто ||| Да рил похоже ||| @timerius22 это его выбор гений рил","","","","","",""
"круто","круто","ru_dict","нареч.","59","10.578664909985106","Отмосфера тут просто круто очень похоже на страшилку фиксай молодец ||| Ааа круто как 7 чедес света❤😊 ||| Супер круто снято","","","","","",""
"жалко","жалко","ru_dict","нареч.","57","10.691858419056597","Жалко гномика убили еще и домик взорвался ||| Гнома жалко ||| Кому жалко гномика😢","","","","","",""
"pov","pov","lat","частица","57","10.446066814556456","Pov Анатолий забыл что он теперь не будет снимать про brain road типичные его день когда он не знаешь Брайан роты ||| Pov 5year old iPad kid rn😭 ||| Pov babannemin günündeyimdir","meme","Вводное слово, указывающее на то, что дальше следует описание ситуации с точки зрения какого-то персонажа или от первого лица.","частица/вводное слово","от английского 'point of view' (точка зрения)","мем/сленг","частица"
"мат","мат / матами / матом / мату / маты","ru_dict","сущ.","57","12.378433060386907","Там был мат нихуя себе кто слышал гадости матерятся кто тоже думает 😂 сюда👇 ||| Кто услышал мат суда 👇 ||| Кто шлышал мат сюда👇","","","","","",""
"гномик","гномик / гномика / гномики / гномиком / гномику","ru_dict","сущ.","57","15.529599437748683","Я гномик дэпнул в казик я свой домик ||| Беднинкий гномик нада уже ему домик дать ||| Один лайк один домик для гномика","","","","","",""
"сидеть","сидел / сидела / сидеть / сидим / сидит / сидите / сидят","ru_dict","глаг.","57","11.268446089098692","​@Клим-ъ7е сидеть в ютубе тоже🥀 ||| Бедний папа сидит нехуя не понимает кивает типо что то понял ||| ты дуракчок?под каждым видео пишет сидит про Суно аи.","","","","","",""
"трипи","трипи / триппи","slang","имя","57","16.466605202788855","Я такую же трипи тропи тропа трипи украл :) ||| Ну кнш лос комбо на триппи тропу имба трейд 😊обмен хароший😊 ||| Эм нет потомучто лос комбонационес секретка а трипи тропа божественые😂😂😂","","что-то ценное, крутое или божественное, часто в контексте обмена или кражи в играх/мемной культуре","существительное","вероятно, искажённое английское 'trippy' (от trip — 'путешествие', 'кайф') или 'trip' в значении 'драгоценность' (жаргон)","мем/сленг","сущ."
"холя","холи","ru_dict","дееприч.","56","11.351428840841566","Мы потеряли Холи бама образца 2021 года ||| ​@VikaPisyuntseva ты кринж лохов 🤡 холи бам самый лутшый лучше тебя идиот ||| Кто из 2026 Холи бааам заметь пж!","","","","","",""
"похожий","похож / похожая / похожем / похожи / похожие / похожий / похожим","ru_dict","прил.","56","12.268782772174498","Согл ведь они так похожи😅 ||| А никто не заметил что наш любимый мэр похож из игры только Он чёрный этот розовый ||| на бубу похож сахурчик","","","","","",""
"чисто","чисто","ru_dict","нареч.","56","9.372942847864968","чисто только 1000 ночей и казлу пукан уже интересует только легенды поставили лайк🥴 ||| Чисто когда удача 1000х ||| Чисто про модед стиль э брейнрот","","","","","",""
"русский","русские / русский / русским / русское / русском","ru_dict","прил.","53","10.88825960100826","Это не русские мемы настоящие уплыли в бездну… ||| У меня было такое только в [обнв] укради русский брейнрот ||| Он забыл русский","","","","","",""
"согл","согл","slang","межд.","51","15.863036789146124","@bemebeth согл ||| @Dynachristos согл ||| Согл😂","","сокращение от 'согласен', выражающее согласие с предыдущим сообщением","частица или междометие","сокращение от 'согласен'","мем/сленг","частица"
"тунг","тунг / тунга / тунгом","ru_dict","сущ.","51","13.571331291989837","Следующее видео: Зарейдил мэра Тунг тунг Сахуром"" Я Тут тум сагур Дай лицензию на Рангур ||| Типа тропа тралала лилилила тунг тунг сахур бонекка тунг тунг тралалеро триппи троппа хрокодина ||| Тунг тунг сахур Дун Дун Дун хотспот амбалабу гарамарам тоб Тоби топ макело ма Дун Дун дун","","","","","",""
"секретка","секретка / секретки / секреткой / секретку / секреток","ru_dict","сущ.","51","18.007634760859684","Принимаю на випку привила нужна секретка ||| Эм нет потомучто лос комбонационес секретка а трипи тропа божественые😂😂😂 ||| Дай одну секретку","","","","","",""
"звук","звук / звука / звуками / звуки / звуков / звуком","ru_dict","сущ.","50","11.97792420529184","У тебя постоянно всё под звук подходит🎉 ||| Мне казыца сто в канцы но боцыловал брожектар звука ||| А почему не было звук 'дрогонолони '","","","","","",""
"который","которая / которое / которой / которому / которую","ru_dict","прил.","50","11.352246088830253","Когда мой друг крал лос 67 у него украли чиклитейру нолитейру которая дает 168 м ||| Это самая лучшая песня от стрса которую я слышала ||| Вам что нубини пиццанини важнее чем за моего любимого Брейн рота которая он лучше чем фигня для нубов","","","","","",""
"родиться","род / родившаяся / родилась / родились / родился / родятся","ru_dict","глаг.","49","11.495701604286829","це дуже крутий трек дякую авторам и их 4 отцам за то что родились ||| Кто знает появился новый секрет брей род это la esok sikola ||| ​@ЧАС-ч6р вау ты средний род","","","","","",""
"лайковый","лайков","ru_dict","прил.","49","16.755400072669193","если вы наберете 50k лайков тогда наверно фиксай сделает новую песню про брейнрот🙂 ||| 67 лайков.. ||| Да вы гении наберите 60 тыс. Лайков Вас ещё преданным подписчиком называют","","","","","",""
"название","название / названий / названия / названье","ru_dict","сущ.","48","11.385794080297153","Название мне напомнило За тобой цветы ||| Он забыл название брейнотов ||| Это его какая букашка укусила что он забыл название брейнота?......","","","","","",""
"tralala","tralala","lat","межд.","48","19.46126481393973","Prr patapim tralalero tralala capuchino asasino ||| Три петропа tralala ||| Tralalero Tralala for president","meme","неясно","междометие/частица","неясно","мем/сленг","межд."
"тоха","тоха / тохи","slang","имя","48","15.926377918985153","Тоха раньше было лучше гиомитри деш мертвие рельсы а сейчас ||| Тоха в начале ето отдельний вид исткутсва ||| Так это же Тоха t2x2","","неясно","неясно","неясно","неясно","неясно"
"gronk","gronk","lat","сущ.","47","24.305211001696687","Baby gronk rizz'd up livvy dunn ||| ""Baby Gronk rizzed up Livvy Dunne"" type sh*t ||| Baby gronk is the rizzler","review","о ком-то, кто обладает сильным обаянием или уверенностью в себе, часто в контексте романтических отношений","существительное (прозвище)","от имени игрока в американский футбол Кайла Грэнка (Kyle Gronkowski), известного своей харизмой и внешностью","мем/сленг","сущ."
"настоящий","настоящая / настоящего / настоящее / настоящей / настоящем / настоящие / настоящий / настоящим","ru_dict","прил.","47","11.580343792071709","Но всё равно настоящий бомбардира крокодила лучше! ||| Это не русские мемы настоящие уплыли в бездну… ||| ​@RACCONCH1kYouTubeэто не настоящий я думал","","","","","",""
